run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch,Loss/train_std,Train/Avg_Loss_std,Val/AnyValid_std,Val/AnyValid_abinit_std,Val/Avg_Loss_std,Val/C2_std,Val/C2_abinit_std,Val/C3_std,Val/C3_abinit_std,lr_std,heldout,scale,dataset_size,uncond,Val/C23,Val/C23_abinit,model_class
GPT2_medium_uncond_heldout0_stream0_16M,0.5070459008216858,,0.9076000034809112,0.5078833341598511,12.196997356414794,0.3710000038146973,0.1864999994635582,0.6290000081062317,0.1807500004768371,7.427067685057409e-05,GPT2_medium_RAVEN_uncond_heldout0_stream0_16M-20240819-011524/tensorboard_logs,257499,232499,0.0147518442922742,,0.0023002987299157,0.0100701317514598,0.1504943755188311,0.0059907393691704,0.0054006173099892,0.0059907399219245,0.0128997225112015,9.996215741212797e-09,True,GPT2-M,0.16,True,1.000000011920929,0.3672499999403953,GPT2
GPT2_medium_uncond_heldout0_stream0_16M,0.2404019296169281,0.6250341534614563,0.9067499995231628,0.6238833248615265,21.620735931396485,0.3760500013828277,0.1908999994397163,0.6239499986171723,0.345100000500679,1.0377037638065189e-07,GPT2_medium_RAVEN_uncond_heldout0_stream0_16M-20240820-024019/tensorboard_logs,1000000,977499,0.0068352033621694,,0.0009237949919485,0.0066971831964123,0.0304268386573329,0.0018476711653643,0.0067692128328597,0.0018476657888163,0.0060681279997055,5.6782573783190114e-08,True,GPT2-M,0.16,True,1.0,0.5359999999403953,GPT2
GPT2_medium_uncond_heldout0_stream16M,3.180018424987793,3.205983638763428,0.95753333568573,0.3287166684865951,3.307522988319397,0.210250000655651,0.1474999994039535,0.7897500038146973,0.0351999996230006,1.0377037638065189e-07,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240820-024718/tensorboard_logs,1000000,977499,0.0723088506498834,,0.0006421416919215,0.0049913830762601,0.0005105636556637,0.0020446392674979,0.0092915722046747,0.0020446463530038,0.005072803014896,5.6782573783190114e-08,True,GPT2-M,16.0,True,1.0000000044703483,0.1826999990269541,GPT2
GPT2_medium_uncond_heldout0_stream16M,3.2005202531814576,,0.9537166655063628,0.3501333355903625,3.265199875831604,0.2306999981403351,0.1587500005960464,0.7692999899387359,0.0405000003054738,7.402155315503479e-05,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240819-010648/tensorboard_logs,259999,234999,0.095570920540099,,0.0040628207477699,0.0125886489318593,0.0060425980122747,0.0130664964679824,0.0098805374897733,0.0130665126111245,0.0062048372063079,1.0528568951838833e-08,True,GPT2-M,16.0,True,0.9999999880790711,0.1992500009015202,GPT2
GPT2_medium_uncond_heldout0_stream16M,3.218511700630188,3.2445099353790283,0.96233332157135,0.3701666682958603,3.288063764572144,0.210999995470047,0.1431500017642974,0.7889999747276306,0.0392500003799796,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240704-041344/tensorboard_logs,250000,227499,0.0743472058492099,,0.0,0.0078982702819103,0.0,0.0,0.0104988071208096,0.0,0.0035059473935186,0.0,True,GPT2-M,16.0,True,0.9999999701976776,0.18240000214427698,GPT2
GPT2_medium_uncond_heldout0_stream1_6M,2.600170302391052,2.964223623275757,0.967416650056839,0.4628500014543533,4.656226396560669,0.1736999973654747,0.2582000017166138,0.8262999951839447,0.120550000667572,1.0377037638065189e-07,GPT2_medium_RAVEN_uncond_heldout0_stream1_6M-20240820-023917/tensorboard_logs,1000000,977499,0.0870720649933729,,0.0012379043314761,0.0087405826784046,0.0106831101230976,0.0035292426083515,0.0094551560840701,0.0035292393244727,0.0068412556214828,5.6782573783190114e-08,True,GPT2-M,1.6,True,0.9999999925494194,0.37875000238418577,GPT2
GPT2_medium_uncond_heldout0_stream1_6M,3.177763819694519,,0.9417500019073486,0.3760166704654694,3.3068676710128786,0.2602000012993812,0.1718999996781349,0.7398000061511993,0.0472500000149011,7.37624170142226e-05,GPT2_medium_RAVEN_uncond_heldout0_stream1_6M-20240819-010648/tensorboard_logs,262499,237499,0.0592668738464004,,0.0029961334289786,0.0138199294415307,0.0073150728347058,0.0106619814348303,0.0115296739208169,0.0106619823665703,0.008216683962792,4.259759840774546e-09,True,GPT2-M,1.6,True,1.0000000074505806,0.219149999693036,GPT2
GPT2_small_uncond_heldout0_stream0_016M,0.178639318048954,0.3058750927448272,0.8413999974727631,0.6980166673660279,26.34098720550537,0.8954999923706055,0.1300000004470348,0.1045000009238719,0.3602000027894974,1.0377037638065189e-07,GPT2_small_RAVEN_uncond_heldout0_stream0_016M-20240820-024539/tensorboard_logs,1000000,977499,0.0039266573532016,,0.0017234830050546,0.0073557986680513,0.0333031068153343,0.0020412459946386,0.0067040635805174,0.0020412409250944,0.0113949283989109,5.6782573783190114e-08,True,GPT2-S,0.016,True,0.9999999932944774,0.4902000032365322,GPT2
GPT2_small_uncond_heldout0_stream0_16M,1.9224974513053892,2.312938690185547,0.910950005054474,0.4440333366394043,7.21241865158081,0.3620500028133392,0.1432000011205673,0.6379500031471252,0.1431999996304512,1.0377037638065189e-07,GPT2_small_RAVEN_uncond_heldout0_stream0_16M-20240820-024128/tensorboard_logs,1000000,977499,0.0823912692054543,,0.0005094766718165,0.0056958925061176,0.0067469642551969,0.0010658830576265,0.0090651992258094,0.0010658849216895,0.0077107418517753,5.6782573783190114e-08,True,GPT2-S,0.16,True,1.0000000059604646,0.2864000007510185,GPT2
GPT2_small_uncond_heldout0_stream16M,3.2103850841522217,3.223623991012573,0.9504166662693024,0.3511500000953674,3.3172765731811524,0.2266999989748001,0.1716999992728233,0.7732999980449676,0.0401000000536441,1.0377037638065189e-07,GPT2_small_RAVEN_uncond_heldout0_stream16M-20240820-024127/tensorboard_logs,1000000,977499,0.1234157030162577,,0.0007081918037107,0.0083734011630137,0.0006426425584265,0.0021883550220312,0.0108811760603066,0.0021883626636137,0.0042544094205736,5.6782573783190114e-08,True,GPT2-S,16.0,True,0.9999999970197677,0.21179999932646743,GPT2
