,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
122,0,"[1493, 924, 4115]",2,2,87,100,[ 0. 23. 32.  6. 39. 36. 19.],[87 11  6  2  1  1  1]
123,0,"[2963, 9989, 5376]",0,2,87,100,[ 0. 36.  6.],[87  6  2]
124,0,"[2963, 9989, 5376]",1,2,85,100,[ 0. 30. 29.  6.],[85 11  2  2]
125,0,"[2963, 9989, 5376]",2,2,0,100,[11.  6. 16. 39. 27. 36.],[11 10  4  2  2  1]
126,0,"[6202, 11471, 5897]",0,2,51,100,[ 0. 25.  5. 31. 26. 36.  6.],[51 18  7  4  3  2  1]
127,0,"[6202, 11471, 5897]",1,2,0,100,[25. 16. 11. 21. 36. 32. 26.  6.],[31  9  9  4  2  2  2  1]
128,0,"[6202, 11471, 5897]",2,2,75,100,[ 0. 14. 33. 35. 25. 26. 15. 38. 20.],[75 15 11  8  7  4  2  1  1]
129,0,"[2971, 8429, 685]",0,2,0,100,[21.  6. 37. 26. 17.],[8 4 1 1 1]
130,0,"[2971, 8429, 685]",1,2,0,100,[21. 26. 16.  6. 38. 36. 35.],[15 11  7  5  1  1  1]
131,0,"[2971, 8429, 685]",2,2,54,100,[ 0.  5. 21. 26. 10. 36. 16.  6. 15.],[54 25 17  5  5  4  3  3  1]
132,0,"[11533, 2182, 8305]",0,2,38,100,[ 0.  5. 10. 15. 16.  6. 37.],[38 13  7  6  3  2  1]
133,0,"[11533, 2182, 8305]",1,2,38,100,[ 0.  5. 11. 35. 36. 16.  6.],[38 23 10  4  2  2  2]
134,0,"[11533, 2182, 8305]",2,2,53,100,[ 0. 25.  5. 26. 36. 20. 19.],[53 33 11 10  8  5  1]
135,0,"[6709, 11771, 3491]",0,2,0,100,[35. 25. 36. 23. 16. 15.  6. 10.],[13 11  7  7  4  4  4  3]
136,0,"[6709, 11771, 3491]",1,2,0,100,[ 6. 36. 31.],[2 1 1]
137,0,"[6709, 11771, 3491]",2,2,70,100,[ 0.  5. 37.],[70 15  1]
138,0,"[1759, 3353, 9868]",0,2,0,100,[ 6. 29.],[10  5]
139,0,"[1759, 3353, 9868]",1,2,53,100,[ 0.  5. 26. 16. 35.],[53 23  9  9  2]
140,0,"[1759, 3353, 9868]",2,2,72,100,[ 0.  5. 38.],[72  5  2]
141,0,"[4665, 8215, 91]",0,2,0,100,[10. 25. 26. 16.  6.],[35 17  7  3  1]
142,0,"[4665, 8215, 91]",1,2,49,100,[ 0. 13.  5. 26. 35. 25. 36.],[49 34 17 12 10 10  8]
143,0,"[4665, 8215, 91]",2,2,0,100,[ 6. 21. 26. 19. 37. 33.],[14  5  4  2  1  1]
144,0,"[6895, 10600, 10716]",0,2,69,100,[ 0.  6. 30. 29. 19.],[69  4  2  1  1]
145,0,"[6895, 10600, 10716]",1,2,0,100,[ 6. 37.],[4 1]
146,0,"[6895, 10600, 10716]",2,2,81,100,[ 0. 25. 26. 16. 12. 21.  6.],[81 43  8  6  5  3  3]
147,0,"[11374, 10891, 9687]",0,2,62,100,[ 0. 33. 11.  5. 16. 38.],[62 12 10  8  3  1]
148,0,"[11374, 10891, 9687]",1,2,86,100,[ 0. 14. 15.],[86  8  2]
149,0,"[11374, 10891, 9687]",2,2,0,100,[11. 16.  6. 32. 38.],[13 10  8  3  1]
150,1,"[8833, 8146, 9660]",0,2,7,100,[ 6. 32. 16.  1. 12. 27.],[25 13 11  7  3  1]
151,1,"[8833, 8146, 9660]",1,2,3,100,[ 6. 26.  1. 39.],[33  8  3  2]
